User Query,Bot Response,Class
what if i forget my atm pin,you can call the m&n  bank phonebanking to request for re-issuance of pin or place a request through prepaid netbanking. a new pin will be sent across to your registered mailing address held on record with the bank.,cards
how can i check the balance on my m&n  bank forexplus card,"you can check the balance on forexplus card with the help of netbanking facility. you will need to use the card number as user id & ipin issued to you as part of the card kit to login to netbanking facility. alternately, you can also contact our phonebanking services to check the balance on your forexplus card.",cards
who can purchase forexplus card,"forexplus card can only be used for making payments outside india except for nepal & bhutan. whenever the cardholder is using his card he must be present at the place of transaction & need to sign the chargeslips. thus, we issue forexplus card to customers travelling abroad basis valid documentation proof.",cards
can i load forexplus card by making payment in cash,"no, forexplus card cannot be loaded against payment of cash.",cards
how do i know if an atm will accept my forexplus card,forexplus cards are accepted at visa / mastercard atms. please look out for the visa/plus/mastercard logo while searching for atm.,cards
what documents should i submit when i purchase the m&n  bank forexplus card,"m&n  bank savings / current account holders need to just submit completed application form, copy of ticket or the visa and form a2 (or any other documentation as mandated under prevalant fema guidelines)if you don't have m&n  bank savings / current account, you need to submit completed application form, copyof ticket or the visa and form a2 (or any other forex documentation as mandated under prevalant fema guidelines) as well as a photocopy of your valid passport.",cards
how does this card work,"your m&n  bank forexplus card will be activated with the required aud / aed / cad / chf/ euro / gbp / jpy / sgd and usd within 4 hours from the bank getting the clear funds from you. once actived, the card can be used at any international location for making payments at pos terminals or to withdraw cash at atms. (usage of the card is not allowed in india, nepal and bhutan.) m&n  bank forexplus card works just like any debit / credit card for making payments at merchant establishments that have an electronic terminal. the transaction amount is deducted from available balance on the forexplus card. m&n  bank forexplus card is accepted at all merchant establishments displaying the visa / mastercard symbol. the card can be used to withdraw cash at all visa / mastercard atms worldwide. irrespective of the currency loaded on the card, the cash will be dispensed based on the currencies supported at the atms. please ensure that you remember the pin given to you with the card pack, the pin is unique for every card and cannot be changed at any domestic or international atm. view more",cards
can i use the dcc/ mcc option at the time of transaction,"whenever forexplus cardholder opts for dcc/mcc option on dcc/mcc enabled pos/atm terminals, his/her transaction passes through cross currency transactions twice. it is not advisable for a forexplus cardholder to opt for dcc/mcc while using forexplus card for making payments. please note that every cross currency transaction attracts currency conversion charges at applicable rates. apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate. view more",cards
do i need to pay additional amount over and above cash withdrawal charges levied by the m&n  bank for atm transaction,"in certain countires atm service providers are authorized to charge surcharge/convenience fees from the cardholders for accessing the atm to withdraw money. these charges are levied by the atm service provider over and above the charges levied by the m&n  bank, and m&n  bank bank has no control over the charges as these charges are not levied by the bank. these charges are normally displayed to the customer during the transaction and the customer has the option to either proceed with the transaction or abort if the charges are not acceptable to the customer. view more",cards
what currencies are available,there are ten currencies offered: australian dollar (aud) dirhams (aed) canadian dollar (cad) euro (eur) japanese yen (jpy) singapore dollars (sgd) sterling pound (gbp) swedish krona (sek) swiss franc (chf) us dollar (usd) view more,cards
where do i get this card,"forexplus card is available over the counter at m&n  bank branches. you simply need to walk into our branch with required documentation and walk out with forexplus card. the card will get activated within 4 hours from realization of funds. alternatively, the customer can apply for card through netbanking login also.in case the customer applies the card through netbanking the card will be delivered to the customer within 2 working days. this facility is available at select locations only.",cards
how soon can the card be used after it is purchased,your card will be activated & loaded with required currency within 4 hours from the bank having received clear funds from you. the card will beready for use post activation.,cards
how can i cancel my forex plus card,"to cancel your forex plus card, we request you to contact the phonebanking team or walk into your nearest m&n  bank branch and place a request towards cancellation. your request will be processed within one working day of us receiving the request. there are no charges towards the cancellation of a forex plus card. however, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. kindly visit the following url to access information for the complete address and contact details of our branches and phonebanking centers: view more",cards
how do i activate e-commerce on my card,follow 2 simple steps: step 1: log on to prepaid card net banking. step 2: enable your e-commerce transaction facility to make purchases.,cards
how do i top-up the value of my card when i am abroad,forexplus card can also be loaded on your behalf by someone authorized by you. authorised person has to visit m&n  bank branch with the necessary documents and funds. weâ€™ll take care of the rest.,cards
whom should i contact if my card is lost or stolen,immediately report the loss of your m&n  bank forexplus card by calling m&n  bank phonebanking. you will not be liable for transactions on your card account (if any) from the moment your report is registered with the bank. alternately you can hotlist the card with the help of prepaid netbanking facility.,cards
what is the m&n  bank forexplus card,"m&n  bank forexplus card is a magnetic strip based prepaid card introduced in partnership with visa / mastercard international. the card offers you a convenient and secure way to carry forex. this card offers you the freedom to shop anywhere in the world and provides access to the currency of your destination at competitive market rates. it can be used at all visa / mastercard atms and merchant establishment worldwide. this card cannot be used for making payments in india, nepal or bhutan.",cards
what is the maximum value for which the card can be used,"there is no limit imposed on the usage of forexplus card. customer's can withdraw/utilise any amount, upto the value loaded on forexplus card at any atm/pos. however, there are some atms service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the bank. in such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",cards
i have renewed my passport with new number. do i need to update my new passport number in my forexplus card,"yes, we request you to get in touch with nearby branch along with original & copy of your passport to get the new passport number updated in the bank's records. passport number is key validation criteria to check caller authenticity when you contact our 24 x 7 phonebanking service, hence it is recommended to update passport number at the earliest.",cards
what does dcc/ mcc stand for,dcc stands for dynamic currency conversion whereas mcc stands for multiple currency conversoin. dcc / mcc at atm / pos gives the cardholder an option to initiate a transaction in the currency of his choice. it also assists the cardholder to know the exact transaction value in the currency selected at the time of transaction.,cards
do i need to have m&n  bank account to purchase the m&n  bank forexplus card,"no, you don't need to have an account with m&n  bank to purchase the forexplus card. you can just walk into any of our m&n  bank branches in india and purchase it over the counter on submission of relevant kyc documents.",cards
what happens if my card is lost,"in case your card gets lost or stolen, all you have to do is call m&n  bank 24x7 phonebanking immediately and report the loss of your card. the card can also be hotlisted using our prepaid netbanking facility in case you have opted for a back-up card, then you can request to activate back-up card and transfer balance on your hotlisted card to the back-up card. balance transfer will be carried out instantaneously.",cards
how many days in advance can i purchase foreign exchange,you can purchase foreign exchange up to 60 days in advance from the date of departure.,cards
how much foreign exchange can i retain after the foreign trip,"after returning from the overseas trip, you are required to surrender unspent foreign exchange held by you within 180 days of return. you can retain foreign exchange up to usd 2,000 (or equivalent) for future use after returning back to india.",cards
can the value of the card be topped up,"yes, your forexplus card can be reloaded multiple times in future till the card gets expired: you can authorize the bank to debit your m&n  bank account by giving an m&n  bank cheque or make payment using a local cheque drawn on m&n  bank and reload the card for desired value. reload requests can be made by any authorized person on your behalf. the person authorised by you for the same will need to come to bank branch and will need to provide the necessary documents to the bank to carry out reload. on receipt of the application form and the funds, your card will get reloaded for the desired amount. m&n  bank customers can also place a request to reload the card through m&n  bank phonebanking services. incase the card is issued by your corporate/employer, reload requests received through them will be acted upon by m&n  bank. view more",cards
what if i forget my activation code / ipin,"incase you have forgotten your activation code/ipin, you are requested to kindly call m&n  bank phonebanking and place in a new request for ipin, which will be sent instantly to your registered email id / mobile number.",cards
what is the maximum value for which the card can be used,"there is no limit imposed on the usage of forexplus card. customer's can withdraw/utilise any amount, upto the value loaded on card at any atm/pos. however, there are some atms service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the bank. in such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",cards
"how much is the currency conversion service tax applicable at the time of load, reload and refund","following are the currency conversion service tax slabs applicable at the time of load, reload and refund: buy and sell forex currency service tax amount up to rs. 1 lakh 0.14% of the gross value or rs. 35/- whichever is higher from rs. 1 lakh to rs 10 lakhs rs. 140 plus 0.07% of the amount exceeding rs. 1 lakh from rs. 10 lakhs and above rs. 770 plus 0.014% of the amount exceeding rs. 10 lakhs, subject to a maximum of rs. 7000",cards
what currencies are available,there are three currencies offered: euro (eur) sterling pound (gbp) us dollar (usd),cards
how do i know if an atm will accept my forexplus chip card,forexplus chip cards are accepted at visa / mastercard atms. please look out for the visa/plus/mastercard logo while searching for atm.,cards
what documents should i submit when i purchase the m&n  bank forexplus chip card,"m&n  bank savings / current account holders need to just submit completed application form, copy of ticket or the visa and form a2 (or any other documentation as mandated under prevalant fema guidelines) if you don't have m&n  bank savings / current account, you need to submit completed application form, copy of ticket or the visa and form a2 (or any other forex documentation as mandated under prevalant fema guidelines) as well as a photocopy of your valid passport.",cards
where do i get this card,"forexplus chip card is available over the counter at m&n  bank branches. you simply need to walk into our branch with required documentation and walk out with forexplus chip card. the card will get activated within 4 hours from realization of funds. alternatively, the customer can apply for card through netbanking login also.in case the customer applies the card through netbanking the card will be delivered to the customer within 2 working days. this facility is available at select locations only.",cards
how soon can the card be used after it is purchased,your card will be activated & loaded with required currency within 4 hours from the bank having received clear funds from you. the card will be ready for use post activation.,cards
i have renewed my passport with new number. do i need to update my new passport number in my forexplus chip card,"yes, we request you to get in touch with nearby branch along with original & copy of your passport to get the new passport number updated in the bank's records. passport number is key validation criteria to check caller authenticity when you contact our 24 x 7 phonebanking service, hence it is recommended to update passport number at the earliest.",cards
what is the maximum value for which the card can be used,"there is no limit imposed on the usage of forexplus chip card. customer's can withdraw/utilise any amount, upto the value loaded on forexplus chip card at any atm/pos. however, there are some atms service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the bank. in such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",cards
are there any transactions for which this card should not be used,"yes, your forexplus chip card should not be used towards temporary charge blocks - e.g. paying deposits at hotels, hiring of cars etc. incase you have paid these deposits using forexplus chip card and the hotel/car rental agency etc. settles the transaction for an amount lesser than the amount blocked or you make final payment through any different mode, the balance amount will get credited into your account only after 35 days from the transaction date. note: the bank reserves the right to charge the card holder for any unauthorized amounts.",cards
can a non traveller purchase forexplus chip card,"no, forexplus chip card can only be issued to travellers. forexplus card is valid for making payments in countries other than india, nepal & bhutan. whenever the cardholder is using his card he must be present at the place of transaction & need to sign the chargeslips. if the cardholder is a non - traveller he can not be present at the time of transaction processing, hence forexplus chip card can not be issued to a non- traveller.",cards
can i load forexplus chip card by making payment in cash,"no, forexplus chip card cannot be loaded against payment of cash.",cards
whom should i contact if my card is lost or stolen,immediately report the loss of your forexplus chip card by calling m&n  bank phonebanking. you will not be liable for transactions on your card account (if any) from the moment your report is registered with the bank. alternately you can hotlist the card with the help of prepaid netbanking facility.,cards
can i use the dcc/ mcc option at the time of transaction,"whenever forexplus cardholder opts for dcc/mcc option on dcc/mcc enabled pos/atm terminals, his/her transaction passes through cross currency transactions twice. it is not advisable for a forexplus cardholder to opt for dcc/mcc while using forexplus chip card for making payments. please note that every cross currency transaction attracts currency conversion charges at applicable rates. apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",cards
can i issue cheque for loading of forexplus chip card,"customer can load forexplus chip card by issuance of cheque against the amount to be loaded. however, cards will be loaded post realisation of the cheque deposited by the customer. the exchange rate applicable will be for the day on which funds are realized and card is activated",cards
can the atm pin be changed,"no, the atm pin cannot be changed at the atm. in case you have forgotten or lost the pin, you will need to request for a new pin with the help of phonebanking or thorugh prepaid netbanking.",cards
what is m&n  bank forexplus chip card,"m&n  bank forexplus chip card is a magnetic strip based prepaid card introduced in partnership with visa / mastercard international. the card offers you a convenient and secure way to carry forex. this card offers you the freedom to shop anywhere in the world and provides access to the currency of your destination at competitive market rates. it can be used at all visa / mastercard atms and merchant establishment worldwide. this card cannot be used for making payments in india, nepal or bhutan.",cards
how do i activate e-commerce,just log on to netbanking and enable your e-commerce transaction facility.,cards
how can i cancel my forexplus chip card,"to cancel your forex plus chip card, we request you to contact the phonebanking team or walk into your nearest m&n  bank branch and place a request towards cancellation. your request will be processed within one working day of us receiving the request. there are no charges towards the cancellation of a forex plus chip card. however, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. kindly visit the following url to access information for the complete address and contact details of our branches and phonebanking centers:",cards
how do i top-up the value of my card when i am abroad,forexplus chip card can also be loaded on your behalf by someone authorized by you. authorised person has to visit m&n  bank branch with the necessary documents and funds. weâ€™ll take care of the rest.,cards
how can i check the balance on my m&n  bank forexplus chip card,"you can check the balance on forexplus chip card with the help of netbanking facility. you will need to use the card number as user id & ipin issued to you as part of the card kit to login to netbanking facility. alternately, you can also contact our phonebanking services to check the balance on your forexplus card.",cards
do i need to have m&n  bank account to purchase the m&n  bank forexplus chip card,"no, you don't need to have an account with m&n  bank to purchase the forexplus chip card. you can just walk into any of our m&n  bank branches in india and purchase it over the counter on submission of relevant kyc documents.",cards
can the value of the card be topped up,"yes, your forexplus chip card can be reloaded multiple times in future till the card gets expired: you can authorize the bank to debit your m&n  bank account by giving an m&n  bank cheque or make payment using a local cheque drawn on m&n  bank and reload the card for desired value. reload requests can be made by any authorized person on your behalf. the person authorised by you for the same will need to come to bank branch and will need to provide the necessary documents to the bank to carry out reload. on receipt of the application form and the funds, your card will get reloaded for the desired amount. m&n  bank customers can also place a request to reload the card through m&n  bank phonebanking services. incase the card is issued by your corporate/employer, reload requests received through them will be acted upon by m&n  bank.",cards
can i use the dcc/ mcc option at the time of transaction,"whenever forexplus chip cardholder opts for dcc/mcc option on dcc/mcc enabled pos/atm terminals, his/her transaction passes through cross currency transactions twice. it is not advisable for a forexplus chip cardholder to opt for dcc/mcc while using forexplus platinum card for making payments. please note that every cross currency transaction attracts currency conversion charges at applicable rates. apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",cards
what happens if my card is lost,"in case your card gets lost or stolen, all you have to do is call m&n  bank phonebanking immediately and report the loss of your card. this facility is available 24 hrs. on all days. in case if you have been issued a back-up card in the kit, you can activate the back-up card by calling m&n  bank phone banking or through prepaid netbanking. once the back-up card is activated, all the funds from primary card will be transferred automatically to the back up card.",cards
how can i cancel my forex plus card,"to cancel your forexplus chip card, we request you visit our your nearest m&n  bank branch and place a request towards cancellation the of the card. your request will be processed within one working day of us receiving the request and the available balance on the card will be refunded back to your account. incase you do not have an account with us then a demand draft shall be issued for the respective refund amount. there are no charges towards the cancellation of a forexplus chip card. however, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. kindly visit the following url to access information for the complete address and contact details of our branches and phonebanking centers:",cards
"i'm not a traveller, can i still benefit from the forexplus chip card","the forexplus chip card is only for travellers, and cannot be issued to non-travellers",cards
what if i forget my activation code / ipin,"incase you have forgotten your activation code/ipin, you are requested to kindly call m&n  bank phonebanking and place in a new request for ipin, which will be sent instantly to your registered email id / mobile number.",cards
can i load forexplus chip card by making payment in cash,"no, forexplus chip card cannot be loaded against payment of cash.",cards
i have renewed my passport with new number. do i need to update my new passport number in my forexplus platinum card,"yes, we request you to get in touch with nearby branch along with original & copy of your passport to get the new passport number updated in the bank's records. passport number is key validation criteria to check caller authenticity when you contact our 24 x 7 phonebanking service, hence it is recommended to update passport number at the earliest.",cards
what currencies are available,there are five currencies offered: euro (eur) sterling pound (gbp) us dollar (usd) thailand baht (thb) hongkong dollar (hkd),cards
what is m&n  bank forexplus platinum (chip) card,"m&n  bank forexplus platinum (chip) card is an embedded chip based prepaid card introduced in partnership with visa international. it offers you a convenient and secure way to carry your forex. this card gives you the freedom to shop anywhere in the world and provides access to the currency of your destination at competitive market rates. it can be used at all visa atms and merchant establishments worldwide. this card cannot be used for payments in india, nepal or bhutan.",cards
how do i top-up the value of my card when i am abroad,forexplus platinum card can also be loaded on your behalf by someone authorized by you. authorised person has to visit m&n  bank branch with the necessary documents and funds. weâ€™ll take care of the rest.,cards
do i need to pay additional amount over and above cash withdrawal charges levied by the m&n  bank for atm transaction,"in certain countires atm service providers are authorized to charge surcharge/convenience fees from the cardholders for accessing the atm to withdraw money. these charges are levied by the atm service provider over and above the charges levied by the m&n  bank, and m&n  bank bank has no control over the charges as these charges are not levied by the bank.these charges are normally displayed to the customer during the transaction and the customer has the option to either proceed with the transaction or abort if the charges are not acceptable to the customer.",cards
whom should i contact if my card is lost or stolen,immediately report the loss of your forexplus platinum card by calling m&n  bank phonebanking. you will not be liable for transactions on your card account (if any) from the moment your report is registered with the bank. alternately you can hotlist the card with the help of prepaid netbanking facility.,cards
what are the currencies available for m&n  bank forexplus platinum card,"the m&n  bank forexplus platinum card is currently available in 5 currencies, i.e. usd, euro, gbp, hkd and thb.",cards
do i need to have m&n  bank account to purchase the m&n  bank forexplus platinum card,"no, you don't need to have an account with m&n  bank to purchase the forexplus chip card. you can just walk into any of our m&n  bank branches in india and purchase it over the counter on submission of relevant kyc documents.",cards
what is the maximum value for which the card can be used,"there is no limit imposed on the usage of forexplus platinum card. customer's can withdraw/utilise any amount, upto the value loaded on forexplus platinum card at any atm/pos. however, there are some atms service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the bank. in such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",cards
what do i need to know about the m&n  bank forexplus platinum card,"embedded with a chip, this forexplus card offers you a convenient and secure way to carry your forex. with the m&n  bank forexplus platinum card you can shop anywhere in the world.",cards
can a non-traveller purchase forexplus card,"no. forexplus cards can only be issued to travellers. a forexplus card is valid for making payments in countries other india, nepal and bhutan whenever you are using your card you must be present at the place of transaction and have to sign the charge slips. as you are a non-traveller you cannot be present at the time of the transaction processing. hence, forexplus platinum cards cannot be issued to non-travellers.",cards
how can i check the balance on my m&n  bank forexplus platinum card,"you can check the balance on forexplus platinum card with the help of netbanking facility. you will need to use the card number as user id & ipin issued to you as part of the card kit to login to netbanking facility. alternately, you can also contact our phonebanking services to check the balance on your forexplus card.",cards
whom should i contact if my card is lost or stolen,immediately report the loss of your m&n  bank forexplus platinum card by calling m&n  bank phone banking. you will not be liable for transactions on your card account (if any) from the moment your report is registered with the bank.,cards
do i need to pay any charges for availing gcas,"in case you avail of gcas services, charges as per visa guidelines will be charged to you. details of charges are as follows: reporting lost/ stolen card : nil emergency replacement of card : usd 25 emergency cash requirement : usd 25 view more",cards
how can i cancel my forexplus platinum card,"to cancel your forex plus platinum card, we request you to contact the phonebanking team or walk into your nearest m&n  bank branch and place a request towards cancellation. your request will be processed within one working day of us receiving the request. there are no charges towards the cancellation of a forex plus platinum card. however, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. kindly visit the following url to access information for the complete address and contact details of our branches and phonebanking centers",cards
how does this card work,"your m&n  bank forexplus platinum card will be activated with the required euro / gbp and usd within 4 hours from the bank getting the clear funds from you. once actived, the card can be used at any international location for making payments at pos terminals or to withdraw cash at atms. (usage of the card is not allowed in india, nepal and bhutan.) m&n  bank forexplus platinum card works just like any debit / credit card for making payments at merchant establishments that have an electronic terminal. the transaction amount is deducted from available balance on the forexplus card. m&n  bank forexplus platinum card is accepted at all merchant establishments displaying the visa / mastercard symbol. the card can be used to withdraw cash at all visa / mastercard atms worldwide. irrespective of the currency loaded on the card, the cash will be dispensed based on the currencies supported at the atms. please ensure that you remember the pin given to you with the card pack, the pin is unique for every card and cannot be changed at any domestic or international atm. view more",cards
are there any transactions for which this card should not be used,"yes, your forexplus card should not be used towards temporary charge blocks - e.g. paying deposits at hotels, hiring of cars etc. incase you have paid these deposits using forexplus card and the hotel/car rental agency etc. settles the transaction for an amount lesser than the amount blocked or you make final payment through any different mode, the balance amount will get credited into your account only after 30 days from the transaction date. note: the bank reserves the right to charge the card holder for any unauthorized amounts.",cards
can i issue cheque for loading of forexplus platinum card,"customer can load forexplus platinum card by issuance of cheque against the amount to be loaded. however, cards will be loaded post realisation of the cheque deposited by the customer. the exchange rate applicable will be for the day on which funds are realized and card is activated",cards
what services i can avail on gcas,you can avail the following services through gcas: a) report loss of card or hotlist your card b) request for a replacement card c) request for the requirement of emergency cash view more,cards
can the atm pin be changed,"no, the atm pin cannot be changed at the atm. in case you have forgotten or lost the pin, you will need to request for a new pin with the help of phonebanking or thorugh prepaid netbanking",cards
can i use the dcc/ mcc option at the time of transaction,"whenever forexplus cardholder opts for dcc/mcc option on dcc/mcc enabled pos/atm terminals, his/her transaction passes through cross currency transactions twice. it is not advisable for a forexplus cardholder to opt for dcc/mcc while using forexplus platinum card for making payments. please note that every cross currency transaction attracts currency conversion charges at applicable rates. apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",cards
how will i know which atms accept the m&n  bank forexplus platinum card,all atms displaying the visa logo will accept the m&n  bank forexplus platinum card.,cards
how can i avail of global customer assistance services (gcas) for my forexplus platinum card,you can call the visa call centre numbers to avail the services available on global customer assistance services. click here for country wise visa call centre numbers.,cards
how do i know if an atm will accept my forexplus platinum card,forexplus platinum cards are accepted at visa atms. please look out for the visa/plus logo while searching for atm.,cards
can i load forex card by making payment in cash,"no, forex card can not be loaded against payment of cash. in case existing bank customer need to load his/her forex card by making payment in cash then, the customer need to deposit cash in his/her account and then issue cheque or debit instruction to load the card.",cards
what documents should i submit when i purchase the m&n  bank forexplus platinum card,"m&n  bank savings / current account holders need to just submit completed application form, copy of ticket or the visa and form a2 (or any other documentation as mandated under prevalant fema guidelines) if you don't have m&n  bank savings / current account, you need to submit completed application form, copyof ticket or the visa and form a2 (or any other forex documentation as mandated under prevalant fema guidelines) as well as a photocopy of your valid passport.",cards
where do i get this card,"forexplus platinum card is available over the counter at m&n  bank branches. you simply need to walk into our branch with required documentation and walk out with forexplus platinum card. the card will get activated within 4 hours from realization of funds. alternatively, the customer can apply for card through netbanking login also.in case the customer applies the card through netbanking the card will be delivered to the customer within 2 working days. this facility is available at select locations only.",cards
what happens if my card is lost,"in case your card gets lost or stolen, all you have to do is call m&n  bank 24x7 phonebanking immediately and report the loss of your card. the card can also be hotlisted using our prepaid netbanking facilityin case you have opted for a back-up card, then you can request to activate back-up card and transfer balance on your hotlisted card to the back-up card. balance transfer will be carried out instantaneously.",cards
can i load forexplus platinum card by making payment in cash,"no, forexplus platinum card cannot be loaded against payment of cash.",cards
who can purchase forexplus platinum card,"forexplus platinum card can only be used for making payments outside india except for nepal & bhutan. whenever the cardholder is using his card he must be present at the place of transaction & need to sign the chargeslips. thus, we issue forexplus chip card to customers travelling abroad basis valid documentation proof.",cards
can the value of the card be topped up,"yes, your forexplus platinum card can be reloaded multiple times in future till the card gets expired: you can authorize the bank to debit your m&n  bank account by giving an m&n  bank cheque or make payment using a local cheque drawn on m&n  bank and reload the card for desired value. reload requests can be made by any authorized person on your behalf. the person authorised by you for the same will need to come to bank branch and will need to provide the necessary documents to the bank to carry out reload. on receipt of the application form and the funds, your card will get reloaded for the desired amount. m&n  bank customers can also place a request to reload the card through m&n  bank phonebanking services. incase the card is issued by your corporate/employer, reload requests received through them will be acted upon by m&n  bank.",cards
how is the value topped up,giftplus cards are non reloadable in nature and hence cannot be topped up.,cards
how do i purchase m&n  bank giftplus card,"giftplus cards are available in all m&n  bank branches. you can also purchase giftplus card online, through our netbanking service.detailed steps for online purchase is mentioned below:log on netbanking.go to accounts section and select purchase gift card.giftplus card can be personalised with the beneficiary name as provided by you. you will need to have financial rights (tpt) for this transaction.",cards
can i load giftplus card by making payment in cash,"no, giftplus card cannot be loaded against payment of cash. giftplus card can be loaded by way of a direct debit to your m&n  bank account, local cheque drawn on m&n  bank or demand draft",cards
can the value of the card be topped up,gifting we believe is special to the occasion and hence you cannot reload this card. every occasion is a new occasion and deserves a new card.,cards
how soon can i get a gitfplus card,"in our bank branches, giftplus card can be availed of from over the counter. these cards however are non-personalised. if a personalised card is requested online or at any branch, the tat is 5-7 working days.the convenience of online purchase is that the card will be delivered to the address specified in your instructions",cards
can  gift plus card used outside india,"giftplus card is a inr prepaid card, which can be used only in india.",cards
is there a fee levied for the use of the card,"no, there is no charge on the usage of the card. however, there are charges for reissuance.any surcharge on account of card usage would be applicable on this card and is nonrefundable by bank",cards
how soon can i use the card after i have purchased it,"your card will be activated with the loaded amount within a few hours after the bank has received clear funds from you. once activated, the card is ready for use.",cards
what documents should i submit when i purchase an m&n  bank giftplus card,if you are an existing m&n  bank current or savings account holder then you just need to submit the giftplus card application form. if you are not an existing m&n  bank current or savings account holder then you need to submit the giftplus card application form along with your id proof and address proof.,cards
is there a load amount limit,"yes, a card balance cannot be more than rs. 50,000 at any given point in time.",cards
what are the charges on the card,the usage of the card is not charged but the reissuance of the card is charged rs. 100 per reissuance.,cards
what if i forget my atm pin,you can call your local m&n  bank phonebanking number and ask for a new pin to be reissued to you. the pin however will be delivered to the purchaser's address with the bank. you can request for a new pin over the internet through your giftplus card account.,cards
who should i contact if my card is lost or stolen,"in case your card gets lost or stolen, all you have to do is call m&n  bank phonebanking immediately and report the loss of your card. this facility is available 24 hrs. on all days. the card can also be hotlisted using our prepaid card netbanking facility on www.m&n bank.com. a new card will be issued and the residual balance on your hotlisted card will be transferred to your new card.new card will be issued only basis the request received from the purchaser.the request for balance transfer from old card to new card will be honored only basis the request received from purchaser",cards
can the atm pin be changed,"no, the atm pin cannot be changed.",cards
do i need to have an m&n  bank account to purchase an m&n  bank giftplus card,"no, you dont need to have an m&n  bank account to purchase a giftplus card. simply walk into any m&n  bank branch in india, submit your kyc documents and purchase an m&n  bank giftplus card over the counter.mode of payment : cheque/dd",cards
are there any transactions for which i cannot use the card,"yes, the card cannot be used to withdraw cash. it can only be used for pos transactions. note: the bank reserves the right to charge the cardholder for any unauthorized amounts.",cards
what is the m&n  bank giftplus card,m&n  bank's giftplus card is a magnetic strip based prepaid card brought to you in partnership with visa,cards
how soon can i get a foodplus card,foodplus card is a personalized visa card and the tat for receiving a personalized card is 7 working days.,cards
will i be able to transfer money to food plus card from my account or from any other account,"food plus card is a corporate card, any instruction with regards to load / reload and bt in the card can be done only on the basis of corporate instructions to the bank. individual cardholder requests cannot be processed.",cards
what happens if the pin is forgotten,the cardholder should call phonebanking and ask for a reissuance. remember that the pin will be delivered to the purchaser's address.,cards
what is m&n  bank's foodplus card,it is an electronic visa prepaid card issued to corporate organizations.,cards
what do i need to know about the m&n  bank foodplus card,the m&n  bank foodplus card is an electronic prepaid card designed for meal allowances.,cards
can i use the card to withdraw cash,"no, it cannot be used for cash withdrawls at atm.",cards
how can i load/reload  my foodplus card,your foodplus card can be loaded/reloaded only basis the instructions received from your employer.,cards
is there a load amount limit,"card balances cannot be more than rs.10,000/-* at any given point of time, additionally, the cumulative amount of load/reload also cannot exceed rs.10,000/-* in a month",cards
is there a usage limit,"rs 10,000 per transaction for cash withdrawals no usage limit on pos usage",cards
how soon can i get a moneyplus card,moneyplus card is a personalized visa card and the tat for receiving a personalized card is 7 working days.,cards
is there a load amount limit,"card balances cannot be more than rs. 50,000 at any given point in time.",cards
what is the m&n  bank moneyplus card,it is an electronic prepaid card issued to corporate organizations.,cards
how do i top up the value a card,loading and reloading is as per the corporate instructions. it is not possible for cardholders to request a reload.,cards
how to set the atm pin,please note that the bank does not provide atm pin for your m&n  bank multi currency forexplus platinum card. you need to set the atm pin online by using m&n  bank prepaid card netbanking service. in future also you can use the netbanking service to reset your atm pin.,cards
what options should i choose to withdraw cash from the atm,"at the time of cash withdrawal across visa/plus atms abroad, the screen will display 3 options for the type of account you carry out transactions in: credit saving checking please choose the credit option for transaction to be successful or if this option is not available then only choose the checking option.",cards
what services can i avail on gcas,you can avail following services through gcas emergency card replacement emergency cash disbursement cardholder inquiry service lost and stolen card reporting emergency legal assistance emergency medical assistance emergency message service emergency ticket replacement assistance emergency translation service lost luggage assistance note: visa charges are applicable,cards
do i need to load all currencies on the card,you can load only the currency of your choice depending on your need.,cards
how can i avail of global customer assistance services (gcas) for my m&n  bank multi currency forexplus platinum card,"you can call the following toll free numbers for visa gcas united states: 1-866-765-9644, united kingdom: 0800-169-5189, australia: 1800-450946, canada: 1-866-639-1911, france: 0800-904349, germany: 08001822891, singapore: 800-4481- 250, hong kong: 800-900-782, japan: 00531-44-002 alternatively, you can place a collect call through your local operator to +1 443 641 2004 or for country wise visa call center numbers click the following link << visa global customer assistance>>",cards
